,Architecture,Cost,Energy,Error,Iteration,Method,SD,Total_Cost,Unnamed: 0,Volume
114,Deepspeech,0.0,0.279723599548,0.276675358837,114,FlexiBO+RF-Ratio,0.0197132911043,135.2,114.0,0.362048025192
115,Deepspeech,0.0,0.200499724385,0.408852681481,115,FlexiBO+RF-Ratio,0.0384894056177,135.2,115.0,0.362048025192
116,Deepspeech,5.2,0.25443406465,0.318671142761,116,FlexiBO+RF-Ratio,0.0346873736992,140.4,116.0,0.362048025192
117,Deepspeech,0.0,0.265475644189,0.304839457452,117,FlexiBO+RF-Ratio,0.00917108597911,140.4,117.0,0.362048025192
118,Deepspeech,0.0,0.236505698414,0.312199390858,118,FlexiBO+RF-Ratio,0.0331127439236,140.4,118.0,0.362048025192
119,Deepspeech,5.2,0.266752285582,0.358624166007,119,FlexiBO+RF-Ratio,0.04244869486,145.6,119.0,0.362048025192
120,Deepspeech,0.0,0.290935444724,0.338154690722,120,FlexiBO+RF-Ratio,0.0395560850888,145.6,120.0,0.362048025192
121,Deepspeech,0.0,0.230621619787,0.287243516229,121,FlexiBO+RF-Ratio,0.0401278575221,145.6,121.0,0.362048025192
122,Deepspeech,0.0,0.307118487593,0.320065890462,122,FlexiBO+RF-Ratio,0.0175536871064,145.6,122.0,0.362048025192
123,Deepspeech,0.0,0.142545511962,0.299038862247,123,FlexiBO+RF-Ratio,0.0447156126636,145.6,123.0,0.362048025192
124,Deepspeech,0.0,0.252596849059,0.335780788605,124,FlexiBO+RF-Ratio,0.00913549730077,145.6,124.0,0.358610634308
125,Deepspeech,0.0,0.262954347377,0.416047535497,125,FlexiBO+RF-Ratio,0.0320772459531,145.6,125.0,0.358610634308
126,Deepspeech,5.2,0.273969440262,0.357958179954,126,FlexiBO+RF-Ratio,0.00402879647945,150.8,126.0,0.358610634308
127,Deepspeech,5.2,0.193356806919,0.369167215755,127,FlexiBO+RF-Ratio,0.0284519866995,156.0,127.0,0.358610634308
128,Deepspeech,0.0,0.30220811283,0.307608425446,128,FlexiBO+RF-Ratio,0.0315494596179,156.0,128.0,0.358610634308
